"name","sentiment","score","text"
"Biden","neg","0.998224914073944","We must rely on the grace of Christ to carry us through, and His sacramental presence and consolation. What if it gets worse as Biden and Harris have promised it would and lasts for four years or eight or the rest of our lives, God forbid. The Ephesus church also had a third attaboy from St."
"Biden","neg","0.9973535537719728","OK, ask your relatives to help you, I have my own problems. Ha, I remember Joe Biden gafe during an electoral meeting, asking a guy in wheel chair to stand up. Apply... church-sinner-insensitive speaker/pastor... I am sure that the crippled beggar knew about Jesus."
"Biden","neg","0.9928769469261168","AS OF THIS WRITING WE DO NOT KNOW FOR CERTAIN IF JOE or DONALD WILL BE NEXT. WILL BIDEN BE PRESIDENT 46. This will be tied up in the courts for some time."
"Biden","neg","0.9821458458900452","At one point, the interviewer spoke of how, under the economic proposals of his party, wealthier Americans would pay more taxes. Senator Biden defended the proposal saying, It's time to be patriotic time to jump in, time to be part of the deal, time to help get America out of the rut. Douglas K."
"Biden","neg","0.960629403591156","We worry about our freedoms when the political winds change. Will Joe Biden and the Democrats clamp down on Christian freedom and condemn Biblical doctrines as hate speech. Or will we be able to maintain our freedoms to worship."
"Biden","pos","0.9819967150688172","There are 4900 friends on my page. If you voted Biden say so. If not unfriend me."
"Bill Clinton","neg","0.999602735042572","He was not a nice fellow. If you are a Democrat, your idea of a bad leader may be Richard Nixon; or if you are a Republican, your idea of a bad leader may be Bill Clinton. But Nero was probably one hundred times worse, a thousand times worse than either of them."
"Bill Clinton","neg","0.9983432292938232","But I am afraid that our kids are growing up in a culture where the concept of Integrityhas been so abused and hidden that it is difficult to either find or recognize. Context President Bill Clinton scandals Our political leaders have abused this fundamental principle and become an embarrassment in many cases. In some instances, our church leaders have abused thisprinciple."
"Bill Clinton","neg","0.9968093037605286","He was an expert at manipulating words to his favor. George Stephanopoulos, now an ABC news analyst was the Director of Communications for Bill Clinton's White House. When reporters hounded him about Clintonian lies, Stephanopoulos accused them of an excess of literalism."
"Bill Clinton","neg","0.9949808716773988","Life is absurd because one generation rarely learns anything from the previous generation. I had this very powerfully worked out in my life in the whole business between Richard Nixon and Bill Clinton. Now, please do not run this through any political filter; run this through an historical filter."
"Bill Clinton","neg","0.9936572909355164","Many thought that he loved women and he and his wife Hillary had people killed. Bill Clinton's election was called dirty tactics. Then the 43 George W."
"Bill Clinton","pos","0.9988954067230223","A good teacher inspires a thirst for learning that lasts a lifetime. Bill Clinton said that on August 5, 1993 during a ceremony honoring inductees into the teacher's Hall of Fame. Henry Brooks Adams said, Teachers affect eternity, they can never know the full range of their influence."
"Bill Clinton","pos","0.9966145157814026","Then we see William J. Bill Clinton. Many thought that he loved women and he and his wife Hillary had people killed."
"Bill Clinton","pos","0.9926151037216188","Those who lost start thinking about 2012; those who won wonderwhat in the world they've gotten themselves in-for. Bill Clinton talked about that; after an improbable victory in 1991. On inauguration day in January 1992 he is said to have been walking in the parade to the White House thinking, O-my-gosh."
"Bill Clinton","pos","0.9914372563362122","Rom. 6:19 Millions have lived to regret their momentary surrender to lust - ask Bill Clinton. Conclusion:Radio personality Paul Harvey tells the story of how an Eskimo kills a wolf."
"Bill Clinton","pos","0.9787552952766418","d. Bill Clinton Love Child Rocks Hillary's Campaigne. Hugh Hefner Trapped in Playboy House of Horrorsf."
"Bush","neg","0.9987486600875854","It's the Economy, Stupid. This buzz phrase become very popular during the first President Bush's administration, and could easily be used today. Today let's take a look at God's spiritual economic plan for His people."
"Bush","neg","0.9967040419578552","In the name of Jesus. Satan will have to flee... Illustration: Funeral of BrezhnevAs Vice President, George Bush represented the U. S."
"Bush","neg","0.9960107803344728","Brian Birdwell, who was badly burned in the Pentagon attack. The President walked in, stood by Brian's bedside, asked Brian how he was doingTold him that he was very proud of him and his wifeAnd that they were his heroesThe President then saluted BrianNow, at this point in time, Brian is bandaged up pretty wellHis hands are burned very badly as well as the back of him from the head downHis movements were very restrictedUpon seeing the President saluting him, Brian began to slowly return the saluteTaking about 15-20 seconds to get his hand up to hisheadDuring all of this, 15-20 seconds, President Bush never moved, never dropped his saluteThe President dropped his salute only when Brian was finished with his, and then gave his wife a huge hug for what also probably seemed like an eternityAs a note to those of you who might not be familiar with military protocolThe subordinate normally initiates a salute and will holdit until the superior officer returns the saluteIn the above incident, President Bush acted in the role of theSubordinate to show his respect and high regard for the injured manHe set a great exampleIn order to be an example, you have to have someone who is following that exampleThat someone is youNow by no means should you follow my examplePlease noBut you should follow the example laid out in scripture The Bible saysBlameless - not implying sinless perfectionBut a life that is beyond legitimate accusation and public scandalNot overbearing, not quick-tempered, not given to drunkenness, not violent, not pursuing dishonest gainAll of these are pretty self-explanatoryMust be hospitable - a lover of strangersMust love what is goodBe self-controlled, upright, Holy and disciplinedIf those are the things I as your pastor am supposed to portrayAnd I am an example to youYou are expected to live a life blameless as wellFor as we move into chapter 2Paul begins to write about Right living in the churchPaul instructs Titus to instruct the older men and women in how they to can be examples within the churchHaving people of all ages in the church makes it strongBut it also brings potential for problemsPaul gives Titus counsel on how to help various groups of peopleThe older people should teach the younger by words an by exampleHow in the world can these young people learn unless the older generation teaches themYou older folks now are benefiting from what you gleaned from the generations before youThat is how most things workWho taught you how to fish. Hunt."
"Bush","neg","0.9954361319541932","Notice you aren't asking God to bless your agenda. God's purpose for your life may be something that you do not want, initially Leslie Dorsey prayed God's blessings for George Bush even when she had reservations about His legitimacy. Over the past year we have been asking God to help us become a purpose-driven church This is only realized as each one of us becomes purpose-driven Christians."
"Bush","neg","0.9940268993377686","BECAUSE they both want the same job. LISTEN no one expects John Kerry and George Bush to become really good friends over the next 5 months I guarantee you that will see no picture on CNN or Fox News of Bush and Kerry grilling out steaks together or hanging out at each other's house. UNDERSTAND - Jonathan was in line to be the next king."
"Bush","pos","0.9997242093086244","B. Following this bold tradition President Bush made the following proclamation concerning thanksgiving on November 21, 2008:Thanksgiving is a time for families and friends to gather together and express gratitude for all that we have been given, the freedoms we enjoy, and the loved ones who enrich our lives. We recognize that all of these blessings, and life itself, come not from the hand of man but from Almighty God."
"Bush","pos","0.9997060894966124","After years of faithful service, his efforts began to really make difference, not only in the lives of children but in the community as well. Due to the success of Metro's programs, President George Bush, Sr. appointed Pastor Bill to serve on the National Commission on America's Urban Families in 1991."
